cell_line	small_molecule	concentration	cell_count	cell_count__ctrl	cell_count__time0	GRvalue
BT-20	(R)- Roscovitine	0.04	4573.66666666667	4489	1362.66666666667	1.02184598112004
BT-20	(R)- Roscovitine	0.12	4477	4489	1362.66666666667	0.99688981545789
BT-20	(R)- Roscovitine	0.37	4159	4489	1362.66666666667	0.913154726108617
BT-20	(R)- Roscovitine	1.11	3890.33333333333	4489	1362.66666666667	0.84029746122413
BT-20	(R)- Roscovitine	3.33	3607.66666666667	4489	1362.66666666667	0.761330473986517
BT-20	(R)- Roscovitine	10	1849	4489	1362.66666666667	0.194164347179812
BT-20	A443654	0.04	2828.33333333333	4327	1362.66666666667	0.54972275673392
BT-20	A443654	0.12	2293.33333333333	4327	1362.66666666667	0.366547531047413
BT-20	A443654	0.37	1409	4327	1362.66666666667	0.0202613078613298
BT-20	A443654	1.11	1026.33333333333	4327	1362.66666666667	-0.156371689722074
BT-20	A443654	3.33	806.666666666667	4327	1362.66666666667	-0.269862537662913
BT-20	A443654	10	440.333333333333	4327	1362.66666666667	-0.49221199010232
BT-20	AT-7519	0.04	3962.66666666667	4327	1362.66666666667	0.897204146309228
BT-20	AT-7519	0.12	3340.66666666667	4327	1362.66666666667	0.712492085968272
BT-20	AT-7519	0.37	1913.66666666667	4327	1362.66666666667	0.225947246097084
BT-20	AT-7519	1.11	972	4327	1362.66666666667	-0.183455006494075
BT-20	AT-7519	3.33	702.333333333333	4327	1362.66666666667	-0.328076344416349
BT-20	AT-7519	10	578.666666666667	4327	1362.66666666667	-0.40178245123528
BT-20	AZD 5438	0.04	3936.66666666667	4327	1362.66666666667	0.889726709159554
BT-20	AZD 5438	0.12	3162	4327	1362.66666666667	0.656945053754197
BT-20	AZD 5438	0.37	2265	4327	1362.66666666667	0.356394049610394
BT-20	AZD 5438	1.11	1529	4327	1362.66666666667	0.071533840491617
BT-20	AZD 5438	3.33	1145.66666666667	4327	1362.66666666667	-0.0988264275209971
BT-20	AZD 5438	10	656.666666666667	4327	1362.66666666667	-0.354637450788306
BT-20	AZD-6482	0.04	4371.33333333333	4489	1362.66666666667	0.96935066481857
BT-20	AZD-6482	0.12	4080.66666666667	4489	1362.66666666667	0.892121152115643
BT-20	AZD-6482	0.37	3582	4489	1362.66666666667	0.754033990670862
BT-20	AZD-6482	1.11	2806	4489	1362.66666666667	0.521901941588706
BT-20	AZD-6482	3.33	1995	4489	1362.66666666667	0.248113440145054
BT-20	AZD-6482	10	1177.33333333333	4489	1362.66666666667	-0.0814849659236186
BT-20	AZD7762	0.04	4551	4327	1362.66666666667	1.06148342488423
BT-20	AZD7762	0.12	3942	4327	1362.66666666667	0.891262149426491
BT-20	AZD7762	0.37	3131.66666666667	4327	1362.66666666667	0.647391075335713
BT-20	AZD7762	1.11	2027.33333333333	4327	1362.66666666667	0.269125845874712
BT-20	AZD7762	3.33	1246.66666666667	4327	1362.66666666667	-0.0519742078116554
BT-20	AZD7762	10	569.666666666667	4327	1362.66666666667	-0.407381492782499
BT-20	AZD8055	0.04	2124.66666666667	4327	1362.66666666667	0.305335387525473
BT-20	AZD8055	0.12	1819.66666666667	4327	1362.66666666667	0.189458294288633
BT-20	AZD8055	0.37	1567	4327	1362.66666666667	0.0874311522114464
BT-20	AZD8055	1.11	1514.33333333333	4327	1362.66666666667	0.0653558442726383
BT-20	AZD8055	3.33	1374.33333333333	4327	1362.66666666667	0.0051273992056089
BT-20	AZD8055	10	893	4327	1362.66666666667	-0.223940919515347
BT-20	AZD8330	0.04	3335	4489	1362.66666666667	0.682662638482941
BT-20	AZD8330	0.12	3530.66666666667	4489	1362.66666666667	0.739375044832018
BT-20	AZD8330	0.37	3561.33333333333	4489	1362.66666666667	0.748142981374881
BT-20	AZD8330	1.11	3527.66666666667	4489	1362.66666666667	0.738515603313743
BT-20	AZD8330	3.33	3690.66666666667	4489	1362.66666666667	0.784778167472252
BT-20	AZD8330	10	3744.33333333333	4489	1362.66666666667	0.799821727679693
BT-20	Afatinib	0.04	3301.33333333333	4327	1362.66666666667	0.700367552331164
BT-20	Afatinib	0.12	3597.66666666667	4327	1362.66666666667	0.790350814420754
BT-20	Afatinib	0.37	3692	4327	1362.66666666667	0.818366898071799
BT-20	Afatinib	1.11	3893.66666666667	4327	1362.66666666667	0.87731667131888
BT-20	Afatinib	3.33	3828	4327	1362.66666666667	0.858258571538274
BT-20	Afatinib	10	1488.66666666667	4327	1362.66666666667	0.0544864349985335
BT-20	BEZ235	0.04	2045.33333333333	4489	1362.66666666667	0.266326205151662
BT-20	BEZ235	0.12	1719.66666666667	4489	1362.66666666667	0.144864309337847
BT-20	BEZ235	0.37	1557	4489	1362.66666666667	0.0805949988091526
BT-20	BEZ235	1.11	1520.66666666667	4489	1362.66666666667	0.0658616847414284
BT-20	BEZ235	3.33	1492	4489	1362.66666666667	0.0541329583790977
BT-20	BEZ235	10	1611.66666666667	4489	1362.66666666667	0.102494152655967
BT-20	BI-2536	0.04	1018	4327	1362.66666666667	-0.160487643427497
BT-20	BI-2536	0.12	977	4327	1362.66666666667	-0.180937797516123
BT-20	BI-2536	0.37	989.333333333333	4327	1362.66666666667	-0.174750620038227
BT-20	BI-2536	1.11	1049	4327	1362.66666666667	-0.145243399125078
BT-20	BI-2536	3.33	1091.33333333333	4327	1362.66666666667	-0.124714031053664
BT-20	BI-2536	10	1104.33333333333	4327	1362.66666666667	-0.118473997014693
BT-20	BMS-387032	0.04	3896	4327	1362.66666666667	0.877991486718462
BT-20	BMS-387032	0.12	1679	4327	1362.66666666667	0.133412245634769
BT-20	BMS-387032	0.37	880	4327	1362.66666666667	-0.230738271131617
BT-20	BMS-387032	1.11	732.666666666667	4327	1362.66666666667	-0.310814625191272
BT-20	BMS-387032	3.33	723.666666666667	4327	1362.66666666667	-0.315905889869557
BT-20	BMS-387032	10	784	4327	1362.66666666667	-0.282240423132024
BT-20	BMS345541	0.04	4354	4327	1362.66666666667	1.00747734578338
BT-20	BMS345541	0.12	4242	4327	1362.66666666667	0.976337391809157
BT-20	BMS345541	0.37	4195.66666666667	4327	1362.66666666667	0.963359079427293
BT-20	BMS345541	1.11	3813.66666666667	4327	1362.66666666667	0.854081338964037
BT-20	BMS345541	3.33	3566.33333333333	4327	1362.66666666667	0.780980279279583
BT-20	BMS345541	10	1381.33333333333	4327	1362.66666666667	0.00819548053899677
BT-20	BX-912	0.04	4093.66666666667	4489	1362.66666666667	0.895623451265896
BT-20	BX-912	0.12	4254.33333333333	4489	1362.66666666667	0.938530604606805
BT-20	BX-912	0.37	4275	4489	1362.66666666667	0.944000161136794
BT-20	BX-912	1.11	4243	4489	1362.66666666667	0.935526448548748
BT-20	BX-912	3.33	3833.66666666667	4489	1362.66666666667	0.824664497144275
BT-20	BX-912	10	2291.33333333333	4489	1362.66666666667	0.352767262949679
BT-20	BYL719	0.04	4647.66666666667	4489	1362.66666666667	1.04080145317227
BT-20	BYL719	0.12	4381	4489	1362.66666666667	0.971881514376779
BT-20	BYL719	0.37	3458.66666666667	4489	1362.66666666667	0.718663236948328
BT-20	BYL719	1.11	2917.66666666667	4489	1362.66666666667	0.556827106667465
BT-20	BYL719	3.33	1675	4489	1362.66666666667	0.127479960479948
BT-20	BYL719	10	1040	4489	1362.66666666667	-0.145389812054718
BT-20	Barasertib	0.04	3837	4489	1362.66666666667	0.825586749365916
BT-20	Barasertib	0.12	3079.33333333333	4489	1362.66666666667	0.606414323609464
BT-20	Barasertib	0.37	2460.33333333333	4489	1362.66666666667	0.409911669742533
BT-20	Barasertib	1.11	1964.33333333333	4489	1362.66666666667	0.2369225601271
BT-20	Barasertib	3.33	1681	4489	1362.66666666667	0.129826356973492
BT-20	Barasertib	10	1331.66666666667	4489	1362.66666666667	-0.0132904210922364
BT-20	Brivanib	0.04	4283.33333333333	4489	1362.66666666667	0.94620249508182
BT-20	Brivanib	0.12	4244	4489	1362.66666666667	0.935791656143709
BT-20	Brivanib	0.37	4313.66666666667	4489	1362.66666666667	0.954203887340588
BT-20	Brivanib	1.11	4206	4489	1362.66666666667	0.925695299175755
BT-20	Brivanib	3.33	4176.66666666667	4489	1362.66666666667	0.917875482413683
BT-20	Brivanib	10	3730	4489	1362.66666666667	0.795812765783097
BT-20	Buparlisib	0.04	4538.66666666667	4489	1362.66666666667	1.01283586364222
BT-20	Buparlisib	0.12	4013.66666666667	4489	1362.66666666667	0.873996259663972
BT-20	Buparlisib	0.37	2772.33333333333	4489	1362.66666666667	0.511258652653088
BT-20	Buparlisib	1.11	1402.33333333333	4489	1362.66666666667	0.0168228412020399
BT-20	Buparlisib	3.33	825.666666666667	4489	1362.66666666667	-0.252701133526758
BT-20	Buparlisib	10	669.333333333333	4489	1362.66666666667	-0.338557954590807
