cell_line	small_molecule	GR50	GRmax	GR_AOC	GEC50	GRinf	h_GR	r2_GR	pval_GR
BT-20	A443654	0.0575130065698353	-0.502447333817286	1.00762913942882	0.215292588415364	-0.608368202944265	0.603063601169663	0.987930384881203	0.000145675609115936
BT-20	AT-7519	0.195583767817518	-0.420824332587213	0.883699467230845	0.315313062010675	-0.43187054263131	1.30363378056433	0.999591668098498	1.66734941742241e-07
BT-20	AZD 5438	0.243894097826279	-0.371520085252289	0.755107332242869	0.578439497758588	-0.479309305786292	0.778415413342531	0.992212023224507	6.0652582255516e-05
BT-20	AZD-6482	1.28852276409709	-0.0906565056119643	0.426548741824695	3.35577941656511	-0.549958258998058	0.775080620959797	0.998525606610375	2.17383586731401e-06
BT-20	AZD7762	0.629737408106923	-0.417699112262697	0.592931184746983	1.41020013399964	-0.59811662448298	0.97588607669959	0.990203536402978	9.59706990077969e-05
BT-20	AZD8055	-Inf	-0.305234972344757	0.937691619429484	1.1200312441026	-0.999999998050396	0.190326424243744	0.886053850904064	0.0129837248937934
BT-20	AZD8330	Inf	0.785342748095956	0.248449675068008	0	0.750287315577727	0.01	0	1
BT-20	Afatinib	Inf	0.0476193731292266	0.259433470578608	0	0.6795879845437	0.01	-7.27862214944253e-13	0.130024930333166
BT-20	Alpelisib	1.16766831213819	-0.156379110634277	0.43455221736582	1.97240731936801	-0.367515399702358	1.05108145327961	0.988111753377934	0.000141330407747109
BT-20	Alvocidib	0.0257452198512956	-0.363430899961365	1.20872068241671	0.0399224640944171	-0.355712646538711	1.22484278251286	0.996851245730416	9.91465345023812e-06
BT-20	BI-2536	-Inf	-0.143080499329636	1.17260756430887	0	-0.169849521200992	0.01	-2.22044604925031e-16	1
BT-20	BMS345541	5.25210441250449	-0.00693833157160132	0.189569787525584	10.0477232793502	-0.999999999952079	1.69351488328885	0.978678996013142	0.000454585211007608
BT-20	BX-912	7.82323774183541	0.354872127737421	0.142106425342299	17.0863229570856	-0.999994923016598	1.40634574043356	0.936162696851371	0.00407520127328798
BT-20	Barasertib	0.222800070390317	-0.0255345645076441	0.657181316533878	0.282887961160867	-0.0879820715151187	0.678829914462983	0.990787787872032	8.48648522906448e-05
BT-20	Brivanib	Inf	0.798049990094782	0.0761761421223184	0	0.91535401756772	0.01	-2.60587107447918e-11	0.0725854351940844
BT-20	Buparlisib	0.381148175120448	-0.3459072423857	0.707207068716766	0.553880713807454	-0.359078340916092	1.44812279543892	0.998776017585275	1.49813295158285e-06
BT-20	CGP60474	0.0287647326446269	-0.428459427687408	1.24782748814661	0.039838122789573	-0.365998791912632	1.68657926419533	0.978943002773683	0.000443397132189105
BT-20	CHIR-99021	Inf	0.874782750151634	0.0402868352116497	0	0.9489799365098	0.01	-1.21902488103842e-13	1
BT-20	CP466722	Inf	0.588288500073896	0.0305033048735102	5.06555289756574	0.574523487345599	4.9964822889523	0.95961591093545	0.00163087464957357
BT-20	CP724714	14.3523135253687	0.534630471394714	0.176535095884456	146.518352151907	-0.999999982964433	0.472879467668362	0.955141669174022	0.00201226984449254
BT-20	Canertinib	4.25730711612881	-0.128699423063719	0.275403086305945	8.76609491359732	-0.999999746456793	1.5210870481892	0.915697463073481	0.00710691773224537
BT-20	Celastrol	0.830495668190028	-0.407464122716945	0.536384223852543	1.09462486651336	-0.40365641081463	2.14323145593303	0.992596391257215	5.48134224162e-05
BT-20	Crizotinib	2.26785277078899	-0.0462980960588563	0.349419867547937	9.47124342675998	-0.999999941456736	0.768568423107369	0.950014839992143	0.00249851622101105
BT-20	Dactolisib	-Inf	0.0551633442917793	0.901867571285422	0	0.11144307191093	0.01	-1.14352971536391e-13	0.243777563516257
BT-20	Dasatinib	0.0671457206294157	-0.161623371616	0.875231575227456	0.0948833401664296	-0.161530338407365	0.809605418947031	0.99278022827511	5.2125103759515e-05
BT-20	Dovitinib	0.263116510847482	0.156375169822845	0.579054478135802	0.17750818435974	0.159861181605729	0.978845610306957	0.989989618518256	0.000100207737410041
BT-20	Enzastaurin	Inf	1.13412707698888	-0.081053861145942	0	0.999999155201767	0.01	-1.94038353428833	0.999980962936022
