cell_line	drug	fit_GR	fit_IC	experiment	concentration_points	ctrl_cell_doublings	GR50	GRmax	GR_AOC	GEC50	GRinf	h_GR	r2_GR	pval_GR	flat_fit_GR	IC50	Emax	AUC	EC50	Einf	h	r2_IC	pval_IC	flat_fit_IC
BT-20	A443654	sigmoid	sigmoid	BT-20 A443654	6	1.6667220602027366	0.05750169962050013	-0.6748569557404462	1.0076291394288157	0.21545459656503452	-0.6086546440353318	0.602826036769324	0.8290972979940718	7.277654474124863e-7	NA	0.13267319596553342	0.05910828025477707	0.33428462884900706	0.10601496810231624	0.0675400324149763	0.6469583060028796	0.7823799218022603	5.03027462955493e-6	NA
BT-20	Afatinib	sigmoid	sigmoid	BT-20 Afatinib	6	1.6667220602027366	6.0602127678682916	-0.156113950626935	0.25943347057860744	10.57374396695794	-1	1.9736884366162972	0.5841420133524637	8.94458865553787e-4	NA	7.586868674519245	0.22216172066430712	0.8029977654763537	7.586868674519245	0	2.1368917054272973	0.4312145314282786	0.010954383461564271	NA
BT-20	Alpelisib	sigmoid	sigmoid	BT-20 Alpelisib	6	1.7198827981153355	1.167665421860073	-0.20930406854802086	0.4345522173658204	1.97183142941178	-0.36735510407875255	1.0513095983253171	0.974140605460011	1.9996169909082689e-13	NA	1.8507758220066646	0.19708788351534062	0.6819841530901648	1.368075525511565	0.14017856167200787	1.0886840388845511	0.963982822432225	2.8318967549655897e-12	NA
BT-20	Alvocidib	sigmoid	sigmoid	BT-20 Alvocidib	6	1.6667220602027366	0.03550797902134132	-0.6026709940430482	1.2087206824167094	0.03773005598880362	-0.17729439183624865	5	0.47079177155874485	0.006151948708082293	NA	0.04172447949981862	0.08076433121019108	0.22478148969523531	0.03138148349474319	0.15551107651502458	1.307776162744498	0.6636807806758808	1.6368673647995928e-4	NA
BT-20	AT-7519	sigmoid	sigmoid	BT-20 AT-7519	6	1.6667220602027366	0.195584335951316	-0.628920198787587	0.8836994672308446	0.3153144746826695	-0.43187145286685225	1.303631525508165	0.8593533388754734	1.5312123162009713e-7	NA	0.30503975656538007	0.07261146496815286	0.42136723500389944	0.24717273158383987	0.12052960907382326	1.3112686170030095	0.8439097427472467	3.523760403002753e-7	NA
BT-20	AZD 5438	sigmoid	sigmoid	BT-20 AZD 5438	6	1.6667220602027366	0.24391584907725494	-0.5334898555892282	0.7551073322428687	0.5787151151879437	-0.4794857759544151	0.7782751176345015	0.9297660786553095	5.920731070897403e-10	NA	0.45252234763365007	0.10369426751592356	0.47891109561263495	0.3217757111153375	0.12877988433402768	0.8733967267671315	0.9172685888163814	2.1946408497364198e-9	NA
BT-20	AZD-6482	sigmoid	sigmoid	BT-20 AZD-6482	6	1.7198827981153355	1.2885406402467703	-0.16473436961112675	0.4265487418246952	3.355797777307528	-0.5499613419802367	0.7750904920900932	0.9765380516801598	9.181477844981244e-14	NA	2.2787680412603395	0.2059282371294852	0.6798618157708977	1.8537564554333887	0.07711405589635331	0.8114760566299416	0.9626178702855217	3.813399638870078e-12	NA
BT-20	AZD7762	sigmoid	sigmoid	BT-20 AZD7762	6	1.6667220602027366	0.6298444925521881	-0.5261598419352126	0.592931184746983	1.4103643635095762	-0.5981430367572237	0.9759807763070032	0.9538442719316026	2.059704168544638e-11	NA	0.9896959961255704	0.1062420382165605	0.5913992500432536	0.814834314911294	0.09698925952927295	1.1092100817449801	0.9401603099867041	1.6440487101384653e-10	NA
BT-20	AZD8055	sigmoid	sigmoid	BT-20 AZD8055	6	1.6667220602027366	0.0034865011200548965	-0.7203095579148452	0.937691619429484	1.1200276730024985	-1	0.19032784529442	0.560211195081056	0.0013994370239637124	NA	0.030377682440361764	0.032398584263544784	0.3557798152939194	0.030377682440361764	0	0.2055084462368211	0.5604528006372449	0.0013932983982552743	NA
BT-20	AZD8330	flat	flat	BT-20 AZD8330	6	1.7198827981153355	Inf	0.7775021608861166	0.24844967506800814	0	0.7502873158092837	0.01	-0.7522179294678129	1	0.7502873158092837	Inf	0.8163922691481746	0.79602790143466	0	0.7951775500161468	0.01	-1.4966852480181805	1	0.7951775500161468
BT-20	Barasertib	sigmoid	sigmoid	BT-20 Barasertib	6	1.7198827981153355	0.22282593778158458	-0.16571587311415714	0.6571813165338778	0.28301512364929865	-0.08809546512784788	0.6786900878786104	0.8675402503889926	9.477012165219217e-8	NA	0.5360960946033497	0.24770642201834864	0.5169135425948035	0.18135134364104288	0.274825051986098	0.7359971107049436	0.8946990359827748	1.511676204792947e-8	NA
BT-20	BI-2536	flat	flat	BT-20 BI-2536	6	1.6667220602027366	-Inf	-0.3294575286527309	1.1726075643088656	0	-0.16984952134382184	0.01	-1.3026468792531887e-11	1	-0.16984952134382184	-Inf	0.1824203821656051	0.23247251921886927	0	0.23371013671044474	0.01	-2.4539295040426623e-9	1	0.23371013671044474
BT-20	BMS345541	sigmoid	sigmoid	BT-20 BMS345541	6	1.6667220602027366	5.252851591845436	-0.22022172232933523	0.18956978752558404	10.047215126727743	-1	1.694018421748302	0.9173534956185423	2.1766866563249088e-9	NA	6.7847345924353935	0.19357473454941465	0.8591579870988817	6.7847345924353935	0	1.786650725010867	0.8971171573957604	1.2552887618946925e-8	NA
BT-20	Brivanib	sigmoid	sigmoid	BT-20 Brivanib	6	1.7198827981153355	786.0170159706679	0.7786385911517195	0.07617614212231842	145.2409746702069	0.26048905560143	0.4358734334024916	0.592438859533098	7.61276021597717e-4	NA	1e3	0.8140658554044381	0.9353213102260591	1e3	0	0.3853992119929984	0.5817585290355765	9.363037151278645e-4	NA
BT-20	Buparlisib	sigmoid	sigmoid	BT-20 Buparlisib	6	1.7198827981153355	0.3811429087764749	-0.48469668947145894	0.7072070687167663	0.5538881201574622	-0.3590893063209242	1.4480516090208253	0.9788572103688258	3.9929907947359284e-14	NA	0.5293410806910726	0.11480287627076619	0.5151200522179066	0.4230186949200594	0.1458103156837535	1.5376893340087643	0.9805720280708086	2.0296433886599864e-14	NA
BT-20	BX-912	sigmoid	sigmoid	BT-20 BX-912	6	1.7198827981153355	7.823166893407783	0.24228469743194458	0.14210642534229886	17.087189884834345	-1	1.406242436668739	0.8584917027742021	1.6078859524043508e-7	NA	10.582509658773388	0.467641953880486	0.8864225908310013	10.582509658773388	0	1.493206406070602	0.8461996728163148	3.130819822297645e-7	NA
BT-20	Canertinib	sigmoid	sigmoid	BT-20 Canertinib	6	1.6667220602027366	4.257809998747725	-0.1898354909590555	0.27540308630594484	8.765856621373675	-1	1.5213933473699186	0.901814309858084	8.637450605551189e-9	NA	5.6586910571764095	0.20691532806969778	0.7940635888007808	5.6586910571764095	0	1.465569855761615	0.8425258656226471	3.781584750474541e-7	NA
BT-20	Celastrol	sigmoid	sigmoid	BT-20 Celastrol	6	1.6667220602027366	0.8306466413178748	-0.49532135174571235	0.5363842238525428	1.0946590326240628	-0.40360765874044174	2.144205136223012	0.9239809387088659	1.1152699993760626e-9	NA	1.0956993109847415	0.0906615845358018	0.6525068557457521	0.9499621510820616	0.13654967645072924	2.2348108675529663	0.9163653917029408	2.393801957668401e-9	NA
BT-20	CGP60474	sigmoid	sigmoid	BT-20 CGP60474	6	1.6933024291590362	0.02877921368427031	-0.6348001724150676	1.2478274881466136	0.039847140597988585	-0.3659626683526494	1.6878866337019904	0.4542268233460335	3.382261529256533e-5	NA	0.04448737590654612	0.070828025477707	0.2070405326944453	0.037470302077314215	0.1490470898405268	2.0619985356544928	0.4815150630357491	1.4142117595041958e-5	NA
BT-20	CHIR-99021	flat	flat	BT-20 CHIR-99021	6	1.6667220602027366	Inf	0.7155419570003057	0.04028683521164975	0	0.9489799530828347	0.01	-0.0071934860488984675	1	0.9489799530828347	Inf	0.7653144568472638	0.9663439934939131	0	0.9576702840898218	0.01	-0.005673107328036053	1	0.9576702840898218
BT-20	CP466722	sigmoid	sigmoid	BT-20 CP466722	6	1.7198827981153355	Inf	0.39853185269389413	0.030503304873510086	5.063766401528671	0.5745827788043896	5	0.7877226523662557	4.12315081451964e-6	NA	Inf	0.5234009360374415	0.9764994564272711	4.940737019116625	0.6639854989762779	5	0.7778647680112429	5.928428220065426e-6	NA
BT-20	CP724714	sigmoid	sigmoid	BT-20 CP724714	6	1.7198827981153355	14.157415521282626	0.4810232952202027	0.17653509588445607	113.98443175785624	-0.8718046314445966	0.4838733421905428	0.9050743555568468	6.592777723992769e-9	NA	38.85600264944895	0.5806032241289651	0.8550392686389833	38.85600264944895	0	0.4819768025435793	0.8827012841448825	3.583818946502217e-8	NA
BT-20	Crizotinib	sigmoid	sigmoid	BT-20 Crizotinib	6	1.7198827981153355	2.2678198553631574	-0.12904441072297135	0.34941986754793725	9.471337181687565	-1	0.7685553244174643	0.91700370589264	2.2514878515169597e-9	NA	3.8599029933527436	0.2653111827423754	0.7340279323535928	3.8599029933527436	0	0.8028479109213643	0.8901633096934994	2.1182611598952932e-8	NA
BT-20	Dactolisib	flat	sigmoid	BT-20 Dactolisib	6	1.7198827981153355	-Inf	0.019147157173271534	0.901867571285422	0	0.11144309513237585	0.01	0.25472474183230276	0.09517735450519389	0.11144309513237585	0.02777820268886071	0.32319255547602005	0.3585343009637475	0.01144684481981659	0.341568479028598	1.2963756570151006	0.4493229989646258	0.008456205115941797	NA
BT-20	Dasatinib	sigmoid	sigmoid	BT-20 Dasatinib	6	1.6933024291590362	0.06714898417936786	-0.2909694266931696	0.8752315752274561	0.09488303748105852	-0.16151667532555444	0.8096669634283821	0.7816208459025605	5.84238334712462e-12	NA	0.14362662874228452	0.18725617685305593	0.39016022226651464	0.06938414848957968	0.23637120364248926	0.8797449737088604	0.7588252088499114	3.159675545121042e-11	NA
BT-20	Dovitinib	sigmoid	sigmoid	BT-20 Dovitinib	6	1.7198827981153355	0.2631048413787403	0.05863046359196411	0.5790544781358022	0.17749843258958797	0.15987906411724762	0.9789528610443188	0.9020081926747158	8.50194207426915e-9	NA	0.6883344567620391	0.3528341133645346	0.5643621697775478	0.14533276070564022	0.3943067027117641	0.9992398553408438	0.8892676322362749	2.2604592976624987e-8	NA
BT-20	Enzastaurin	flat	flat	BT-20 Enzastaurin	6	1.7198827981153355	Inf	1.088023366765003	-0.08105386114594218	0	1.0847247807713096	0.01	-1.0599990865669313	1	1.0847247807713096	Inf	1.0711629060252914	1.0728309640621436	0	1.0762329289661035	0.01	-1.1045391047923765	1	1.0762329289661035
BT-20	Erlotinib	sigmoid	sigmoid	BT-20 Erlotinib	6	1.7198827981153355	22.309643685721653	0.4973849852469632	0.16462141404702252	121.07483350076267	-0.5634971245436218	0.4462069259383194	0.5909349168192062	7.840419243251554e-4	NA	123.72052634729174	0.6299212598425197	0.8633706371108055	123.72052634729174	0	0.3642261922490015	0.5579808233975461	0.0014572326385743513	NA
