cell_line	drug	fit_GR	fit_rel_cell	experiment	concentration_points	ctrl_cell_doublings	GR50	GRmax	GR_AOC	GEC50	GRinf	h_GR	r2_GR	pval_GR	flat_fit_GR	IC50	Emax	AUC	EC50	Einf	h	r2_rel_cell	pval_rel_cell	flat_fit_rel_cell
BT-20	A443654	sigmoid	sigmoid	BT-20 A443654	6	1.6667220602027366	0.05750169962049747	-0.5024473338172861	1.0076291394288157	0.21545459656503102	-0.6086546440353394	0.6028260367693151	0.8290972979940718	7.277654474124863e-7	NA	0.1326731959655361	0.09973554826527929	0.33428462884900706	0.10601496810232745	0.06754003241494685	0.6469583060028218	0.7823799218022605	5.030274629554922e-6	NA
BT-20	Afatinib	sigmoid	sigmoid	BT-20 Afatinib	6	1.6667220602027366	6.060212767870336	0.047619373129226594	0.25943347057860744	10.573743966968907	-1	1.9736884366138157	0.5841420133524641	8.944588655537822e-4	NA	7.58686867555149	0.3479419865664797	0.8029977654763537	7.58686867555149	0	2.136891706925791	0.43121453142828015	0.010954383461563999	NA
BT-20	Alpelisib	sigmoid	sigmoid	BT-20 Alpelisib	6	1.7198827981153355	1.1676654218601372	-0.15637911063427715	0.4345522173658204	1.9718314294127453	-0.3673551040790509	1.0513095983251008	0.9741406054600111	1.9996169909082333e-13	NA	1.8507758220069894	0.2276839606769364	0.6819841530901648	1.3680755255122754	0.14017856167184647	1.088684038884306	0.9639828224322251	2.8318967549655796e-12	NA
BT-20	Alvocidib	sigmoid	sigmoid	BT-20 Alvocidib	6	1.6667220602027366	0.03550797902134204	-0.3634308999613651	1.2087206824167094	0.037730055988804384	-0.17729439183624865	5	0.47079177155874485	0.006151948708082293	NA	0.04172447950010519	0.15249069632573875	0.22478148969523531	0.03138148349534627	0.15551107651703722	1.307776162821702	0.6636807806758775	1.6368673647997208e-4	NA
BT-20	AT-7519	sigmoid	sigmoid	BT-20 AT-7519	6	1.6667220602027366	0.19558433595133412	-0.420824332587213	0.8836994672308446	0.3153144746826817	-0.4318714528667986	1.3036315255081916	0.8593533388754734	1.5312123162009713e-7	NA	0.30503975656361254	0.12930512633342775	0.42136723500389944	0.24717273158203376	0.12052960907283253	1.3112686169811665	0.8439097427472467	3.523760403002753e-7	NA
BT-20	AZD 5438	sigmoid	sigmoid	BT-20 AZD 5438	6	1.6667220602027366	0.24391584907725808	-0.3715200852522886	0.7551073322428687	0.5787151151879953	-0.479485775954452	0.7782751176344764	0.9297660786553096	5.920731070897403e-10	NA	0.4525223476335274	0.1469185934511672	0.47891109561263495	0.32177571111594483	0.12877988433367937	0.87339672676991	0.9172685888163814	2.1946408497364198e-9	NA
BT-20	AZD-6482	sigmoid	sigmoid	BT-20 AZD-6482	6	1.7198827981153355	1.2885406402468709	-0.09065650561196426	0.4265487418246952	3.355797777309885	-0.5499613419806005	0.7750904920899496	0.9765380516801598	9.181477844981212e-14	NA	2.278768041260312	0.2593200161385978	0.6798618157708977	1.8537564554333212	0.07711405589636286	0.8114760566299556	0.9626178702855217	3.813399638870078e-12	NA
BT-20	AZD7762	sigmoid	sigmoid	BT-20 AZD7762	6	1.6667220602027366	0.6298444925434123	-0.41769911226269735	0.592931184746983	1.410364363451165	-0.5981430367398514	0.9759807763206517	0.9538442719316026	2.0597041685446232e-11	NA	0.9896959961255857	0.12856498967857174	0.5913992500432536	0.814834314911236	0.09698925952931645	1.1092100817450399	0.9401603099867042	1.6440487101384537e-10	NA
BT-20	AZD8055	sigmoid	sigmoid	BT-20 AZD8055	6	1.6667220602027366	0.003486501120055317	-0.30523497234475666	0.937691619429484	1.120027673003003	-1	0.19032784529440913	0.5602111950810559	0.0013994370239637174	NA	0.03037767339213106	0.19352174906108593	0.3557798152939194	0.03037767339213106	0	0.2055084715075975	0.5604528006371858	0.0013932983982567692	NA
BT-20	AZD8330	flat	flat	BT-20 AZD8330	6	1.7198827981153355	Inf	0.7853427480959563	0.24844967506800814	0	0.7853427480959563	0.01	-0.7522179294678109	1	0.7502873158092837	Inf	0.8228999147014391	0.79602790143466	0	0.8228999147014391	0.01	-1.4966852480181787	1	0.7951775500161468
